STT,MÃ VẬT TƯ,TÊN VẬT TƯ,ĐVT,DANH MỤC
613,VT0613,Máy nén cao áp,cái,Vật tư Nước - Khí nén
614,VT0614,Dây điện đơn CV 2.5 Vàng,mét,Vật tư Điện - Điện tử
615,VT0615,Men 704,kg,Thiết bị Chăn nuôi - Nông nghiệp
616,VT0616,Bình ắc quy 100 AH,cái,Vật tư Điện - Điện tử
617,VT0617,Nhớt 90(can 5L),can,Dầu mỡ - Hóa chất - Sơn
618,VT0618,Nhớt 140 (can 5L),can,Dầu mỡ - Hóa chất - Sơn
619,VT0619,Bạc đạn 6305 koyo,cái,Vòng bi - Bạc đạn
620,VT0620,Ống dầu 8li,mét,Vật tư Nước - Khí nén
621,VT0621,Bulong 20x80 đen,bộ,Kim khí - Bulong - Ốc vít
622,VT0622,Dây curoa răng 8680(xe xúc 932),sợi,Dây curoa - Nhông xích - Truyền động
623,VT0623,RT 21,cái,Vật tư Nước - Khí nén
624,VT0624,Ống nước 49,cây,Vật tư Nước - Khí nén
625,VT0625,Dây curoa răng 6860,sợi,Dây curoa - Nhông xích - Truyền động
626,VT0626,Dây đo đồng hồ điện,cặp,Vật tư Điện - Điện tử
627,VT0627,Khuôn ép cos cho kìm thuỷ lực 16mm,cặp,Vật tư Điện - Điện tử
628,VT0628,Khuôn ép cos cho kìm thuỷ lực 25mm,cặp,Vật tư Điện - Điện tử
629,VT0629,Khuôn ép cos cho kìm thuỷ lực 35mm,cặp,Vật tư Điện - Điện tử
630,VT0630,Máy thổi khí,cái,Vật tư Hàn - Cắt - Gia công
631,VT0631,Dây điện đơn đỏ CV 2.5,mét,Vật tư Điện - Điện tử
632,VT0632,Bóng đèn 18W PHILIPS,cái,Vật tư Điện - Điện tử
633,VT0633,Bóng led 9W OSRAM,cái,Vật tư Khác
634,VT0634,Cân trứng 30 kg sửa,cái,Công cụ - Dụng cụ - Bảo hộ
635,VT0635,Bóng led 9W BÚP,cái,Vật tư Khác
636,VT0636,Buli máy xịt chuồng heo,cái,Dây curoa - Nhông xích - Truyền động
637,VT0637,Vấu phay(bắt dao đảo phân),cái,Công cụ - Dụng cụ - Bảo hộ
638,VT0638,Lò xo cám ống 125(Khu 5),mét,Thiết bị Chăn nuôi - Nông nghiệp
639,VT0639,Cóc xả hơi xe xúc,cái,Phụ tùng Xe - Máy móc
640,VT0640,Bánh xe 15t cũ,cái,Phụ tùng Xe - Máy móc
641,VT0641,Giá vi thể dạng cầu,trái,Vật tư Khác
642,VT0642,Đĩa khí,cái,Vật tư Hàn - Cắt - Gia công
643,VT0643,Con đội 20t,con,Công cụ - Dụng cụ - Bảo hộ
644,VT0644,Dây curoa B84,sợi,Dây curoa - Nhông xích - Truyền động
645,VT0645,Bánh xe sắt,cái,Phụ tùng Xe - Máy móc
646,VT0646,Bình nước gà uống 4L,cái,Vật tư Khác
647,VT0647,Khởi 12A,cái,Vật tư Điện - Điện tử
648,VT0648,Nối điện đồng 150,cái,Vật tư Khác
649,VT0649,Nối điện đồng 50,cái,Vật tư Khác
650,VT0650,Cos điện nhôm 16,cái,Vật tư Điện - Điện tử
651,VT0651,Cos điện đồng 150,cái,Vật tư Điện - Điện tử
652,VT0652,Tụ 30uF 400 VAC,cái,Vật tư Điện - Điện tử
653,VT0653,Tụ 400MFD 250V,cái,Vật tư Điện - Điện tử
654,VT0654,T27-21,cái,Vật tư Khác
655,VT0655,T34-27,cái,Vật tư Khác
656,VT0656,T42-34,cái,Vật tư Khác
657,VT0657,Co 90,cái,Vật tư Nước - Khí nén
658,VT0658,Lơi 60,cái,Vật tư Nước - Khí nén
659,VT0659,Dây curoa A43,sợi,Dây curoa - Nhông xích - Truyền động
660,VT0660,Dây curoa răng 8650(máy sàng phân k4),sợi,Dây curoa - Nhông xích - Truyền động
661,VT0661,Dây curoa B64,sợi,Dây curoa - Nhông xích - Truyền động
662,VT0662,Dây curoa răng 8470,sợi,Dây curoa - Nhông xích - Truyền động
663,VT0663,Dây curoa răng 8480,sợi,Dây curoa - Nhông xích - Truyền động
664,VT0664,Dây curoa răng 6310,sợi,Dây curoa - Nhông xích - Truyền động
665,VT0665,Dây curoa B36,sợi,Dây curoa - Nhông xích - Truyền động
666,VT0666,Bạc đạn 6300,cái,Vòng bi - Bạc đạn
667,VT0667,Buly cốt 24,cái,Dây curoa - Nhông xích - Truyền động
668,VT0668,Buly cốt 26,cái,Dây curoa - Nhông xích - Truyền động
669,VT0669,Buly cốt 30,cái,Dây curoa - Nhông xích - Truyền động
670,VT0670,Buly cốt 38,cái,Dây curoa - Nhông xích - Truyền động
671,VT0671,Nhông đơn 80-26R cốt 45,cái,Dây curoa - Nhông xích - Truyền động
672,VT0672,Nhông đơn 50-32R cốt 38,cái,Dây curoa - Nhông xích - Truyền động
673,VT0673,Két nước xe 932,cái,Phụ tùng Xe - Máy móc
674,VT0674,Ống dầu 10 li,mét,Vật tư Nước - Khí nén
675,VT0675,Ống dầu 11 li,mét,Vật tư Nước - Khí nén
676,VT0676,T140,cái,Vật tư Khác
677,VT0677,Phễu rót dầu,cái,Dầu mỡ - Hóa chất - Sơn
678,VT0678,Ắc xe xúc,cái,Phụ tùng Xe - Máy móc
679,VT0679,Long đền lớn xe xúc,cái,Phụ tùng Xe - Máy móc
680,VT0680,Bát khóa xe xúc,cái,Phụ tùng Xe - Máy móc
681,VT0681,Bạc đạn 6204 Koyo,cái,Vòng bi - Bạc đạn
682,VT0682,Két nước xe 946,cái,Phụ tùng Xe - Máy móc
683,VT0683,Thanh ren 8.8 M20x260,cây,Kim khí - Bulong - Ốc vít
684,VT0684,Hóa chất cấy thép Ramset Epcon G5 pro-tuýp 600ml,tuýp,Dầu mỡ - Hóa chất - Sơn
685,VT0685,Súng bắn keo Ramset G5,cái,Công cụ - Dụng cụ - Bảo hộ
686,VT0686,Bulong M12x30 xi 4.6,con,Kim khí - Bulong - Ốc vít
687,VT0687,Bulong M18x60 thép 8.8 xi,con,Kim khí - Bulong - Ốc vít
688,VT0688,Ty giằng M12x1350 xi 4.6,cây,Vật tư Khác
689,VT0689,Ty giằng M12x540 xi 4.6,cây,Vật tư Khác
690,VT0690,Ty giằng M12x1600 xi 4.6,cây,Vật tư Khác
691,VT0691,Vít tôn mạ kẽm nhúng nóng 75mm,con,Kim khí - Bulong - Ốc vít
692,VT0692,Vít tôn mạ kẽm nhúng nóng 25mm,con,Kim khí - Bulong - Ốc vít
693,VT0693,Bulong M20x550 thép đen 8.8,cây,Kim khí - Bulong - Ốc vít
694,VT0694,Bulong M16x450 thép đen 8.8,cây,Kim khí - Bulong - Ốc vít
695,VT0695,Tê 90,cái,Vật tư Nước - Khí nén
696,VT0696,Gương xe ben cám 6 tấn,cái,Phụ tùng Xe - Máy móc
697,VT0697,Cos Y SV1.25-3 ĐỎ,cái,Vật tư Điện - Điện tử
698,VT0698,Cos mỏ vịt C45-6mm,cái,Vật tư Điện - Điện tử
699,VT0699,Cos mỏ vịt C45-16mm,cái,Vật tư Điện - Điện tử
700,VT0700,Đèn pha led 300W,cái,Vật tư Điện - Điện tử
701,VT0701,Bộ khung quạt đỏ Mulifan 3 pha,bộ,Vật tư Điện - Điện tử
702,VT0702,"Bơm tay xe ben 8,5 tấn",cái,Phụ tùng Xe - Máy móc
703,VT0703,Tủ điện 80x100,cái,Vật tư Điện - Điện tử
704,VT0704,Rờ le nhiệt TH-T18  5A(4-6A) Mitsubisi,cái,Vật tư Điện - Điện tử
705,VT0705,Rờ le nhiệt TH-T18  1.7A(1.4-2A) Mitsubisi,cái,Vật tư Điện - Điện tử
706,VT0706,Tán 12,con,Kim khí - Bulong - Ốc vít
707,VT0707,Long đền 12,con,Kim khí - Bulong - Ốc vít
708,VT0708,Tán 20,con,Kim khí - Bulong - Ốc vít
709,VT0709,Long đền 20,con,Kim khí - Bulong - Ốc vít
710,VT0710,Tán 18,con,Kim khí - Bulong - Ốc vít
711,VT0711,Long đền 18,con,Kim khí - Bulong - Ốc vít
712,VT0712,Tán 16,con,Kim khí - Bulong - Ốc vít
713,VT0713,Long đền 16,con,Kim khí - Bulong - Ốc vít
714,VT0714,Lọc rác thường,cái,Vật tư Nước - Khí nén
715,VT0715,Bộ má phanh xe xúc,cái,Phụ tùng Xe - Máy móc
716,VT0716,Cos Y SV3.5-4 đỏ,cái,Vật tư Điện - Điện tử
717,VT0717,Cos Y SV3.5-4 xanh,cái,Vật tư Điện - Điện tử
718,VT0718,Cos Y SV3.5-4 vàng,cái,Vật tư Điện - Điện tử
719,VT0719,Cos Y SV1.25-3 xanh,cái,Vật tư Điện - Điện tử
720,VT0720,Cos Y SV5.5-4 vàng,cái,Vật tư Điện - Điện tử
721,VT0721,Cos điện nhôm 120,cái,Vật tư Điện - Điện tử
722,VT0722,Cos điện nhôm 25,cái,Vật tư Điện - Điện tử
723,VT0723,Nối điện nhôm 120,cái,Vật tư Khác
724,VT0724,Bình xịt điện 18L,cái,Công cụ - Dụng cụ - Bảo hộ
725,VT0725,Tấm lót sắt dưới máy vỡ,cái,Vật tư Khác
726,VT0726,Dây gầu tải bắp lên máy vỡ,cuộn,Thiết bị Chăn nuôi - Nông nghiệp
727,VT0727,Mâm xe xúc lật 946,cái,Phụ tùng Xe - Máy móc
728,VT0728,Dây cáp 12li,mét,Vật tư Điện - Điện tử
729,VT0729,Trục cao su 1400x1140x1080x110,bộ,Dây curoa - Nhông xích - Truyền động
730,VT0730,Trục cao su 1400x1140x1080x160,bộ,Dây curoa - Nhông xích - Truyền động
731,VT0731,Bánh xe chết 1T2,cái,Phụ tùng Xe - Máy móc
732,VT0732,Bình chữa cháy,bình,Vật tư Khác
733,VT0733,Dây mềm phi 25,mét,Vật tư Nước - Khí nén
734,VT0734,Cánh quạt xe xúc,cái,Phụ tùng Xe - Máy móc
735,VT0735,Dây curoa răng 6290( máy xịt trại xanh),sợi,Dây curoa - Nhông xích - Truyền động
736,VT0736,Dây curoa răng A31,sợi,Dây curoa - Nhông xích - Truyền động
737,VT0737,Dây curoa B35,sợi,Dây curoa - Nhông xích - Truyền động
738,VT0738,Dây curoa A30,sợi,Dây curoa - Nhông xích - Truyền động
739,VT0739,Cầu chắn rác inox 140,cái,Kim khí - Bulong - Ốc vít
740,VT0740,Dây mềm phi 35(50m),cuộn,Vật tư Nước - Khí nén
741,VT0741,Bộ núm tay trong,cái,Vật tư Khác
742,VT0742,Nắp bơm hơi,cái,Vật tư Nước - Khí nén
743,VT0743,Dây curoa răng B65,sợi,Dây curoa - Nhông xích - Truyền động
744,VT0744,van nước 114,cái,Vật tư Nước - Khí nén
745,VT0745,Cửa lồng nhỏ,cái,Thiết bị Chăn nuôi - Nông nghiệp
746,VT0746,Vỏ ngoài quạt hút,cái,Vật tư Điện - Điện tử
747,VT0747,Túi lọc bụi máy đập bắp,cái,Thiết bị Chăn nuôi - Nông nghiệp
748,VT0748,Ty 16 đen ren suốt 8.8,cây,Vật tư Khác
749,VT0749,Bulong 18x50 mạ kẽm nhúng nóng,con,Kim khí - Bulong - Ốc vít
750,VT0750,"Van gas ALKE áp suất đầu ra 1-16 bar, nút chỉnh 1-10",cái,Vật tư Nước - Khí nén
751,VT0751,Bạc đạn UCF213( Cối trộn cám),cái,Vòng bi - Bạc đạn
752,VT0752,Bulong 16x50 đen 8.8,con,Kim khí - Bulong - Ốc vít
753,VT0753,Kìm mát,sợi,Công cụ - Dụng cụ - Bảo hộ
754,VT0754,Kìm hàn,cái,Vật tư Hàn - Cắt - Gia công
755,VT0755,Đầu điếu 17,cái,Công cụ - Dụng cụ - Bảo hộ
756,VT0756,Đầu điếu 19,cái,Công cụ - Dụng cụ - Bảo hộ
757,VT0757,Dây điện CDV mềm 4x6,mét,Vật tư Điện - Điện tử
758,VT0758,CB khối ABN 404c  250A LS,cái,Vật tư Điện - Điện tử
759,VT0759,Ống thuỷ xi lanh Vetdose 0.5ml Ấn độ,cái,Công cụ - Dụng cụ - Bảo hộ
760,VT0760,Ống thuỷ xi lanh Vetdose 1ml Ấn độ,cái,Công cụ - Dụng cụ - Bảo hộ
761,VT0761,Lò xo cám xi lanh Vetdose 0.5ml Ấn độ,cái,Thiết bị Chăn nuôi - Nông nghiệp
762,VT0762,CB khối ABN 103c 50A LS,cái,Vật tư Điện - Điện tử
763,VT0763,Nước sát trùng xe D4+ DISINFECTANT CAN 25L,can,Dầu mỡ - Hóa chất - Sơn
764,VT0764,Cos Y SV5.5-4 xanh,cái,Vật tư Điện - Điện tử
765,VT0765,Cos Y SV5.5-4 đỏ,cái,Vật tư Điện - Điện tử
766,VT0766,"Dây hút nước 1,5HP",sợi,Vật tư Nước - Khí nén
767,VT0767,Bơm hỏa tiễn,bộ,Vật tư Nước - Khí nén
768,VT0768,cánh quạt inox trắng,cánh,Vật tư Điện - Điện tử
769,VT0769,Cân đóng bao,bộ,Công cụ - Dụng cụ - Bảo hộ
770,VT0770,Bạc đạn UCP205(băng tải phân),cái,Vòng bi - Bạc đạn
771,VT0771,Gá cánh quạt inox,cái,Vật tư Điện - Điện tử
772,VT0772,Đồng hồ đo điện,cái,Vật tư Điện - Điện tử
773,VT0773,Dây dù 4mm,kg,Vật tư Đóng gói - Bạt - Dây
774,VT0774,Bạc đạn 6301 koyo( bánh xe sắt dây cáp),cái,Vòng bi - Bạc đạn
775,VT0775,Cos Y chia 2-4(100 cái) xanh,bịch,Vật tư Điện - Điện tử
776,VT0776,Cos Y chia 2-4(100 cái) vàng,bịch,Vật tư Điện - Điện tử
777,VT0777,Bạc đạn 6210 koyo,cái,Vòng bi - Bạc đạn
778,VT0778,Cốt moter bơm cám lò xo 125,cái,Dây curoa - Nhông xích - Truyền động
779,VT0779,Kìm phanh xe xúc Hải Âu 927,cái,Phụ tùng Xe - Máy móc
780,VT0780,Xe rùa mủ,chiếc,Phụ tùng Xe - Máy móc
781,VT0781,Phễu bơm cám trong trại lỗ 125,cái,Thiết bị Chăn nuôi - Nông nghiệp
782,VT0782,Phễu cám tam giác 1 lỗ đơn lỗ 125,cái,Thiết bị Chăn nuôi - Nông nghiệp
783,VT0783,Phễu cám đôi 2 lỗ ngang 125,cái,Thiết bị Chăn nuôi - Nông nghiệp
784,VT0784,Phễu cám trung chuyển inox hộp vuông 125,cái,Thiết bị Chăn nuôi - Nông nghiệp
785,VT0785,Vỏ bánh xe tải,cái,Phụ tùng Xe - Máy móc
786,VT0786,Bô xe xúc lật Hoằng Giai,cái,Phụ tùng Xe - Máy móc
787,VT0787,Cao su chân máy xe 15t,cái,Vật tư Khác
788,VT0788,Moter DC cho gà ăn đã sửa,cái,Vật tư Điện - Điện tử
789,VT0789,Ắc xe xúc phi 70,cái,Phụ tùng Xe - Máy móc
790,VT0790,Dây curoa A41,sợi,Dây curoa - Nhông xích - Truyền động
791,VT0791,Pát máy xịt trại,cái,Thiết bị Chăn nuôi - Nông nghiệp
792,VT0792,Buly 120 cốt 24,cái,Dây curoa - Nhông xích - Truyền động
793,VT0793,CB tép 1 pha 25A-30A bãi,cái,Vật tư Điện - Điện tử
794,VT0794,CB tép 3 pha 20-30A bãi,cái,Vật tư Điện - Điện tử
795,VT0795,Ống bô e D130x500mm,cái,Phụ tùng Xe - Máy móc
796,VT0796,Cổ dê 130,cái,Kim khí - Bulong - Ốc vít
797,VT0797,Buly D100 cốt 42(moter cối trộn cám),cái,Dây curoa - Nhông xích - Truyền động
798,VT0798,Con lăn rulo băng tải,cái,Dây curoa - Nhông xích - Truyền động
799,VT0799,Bo 3 pha,cái,Vật tư Điện - Điện tử
800,VT0800,Đồng hồ máy đếm bao,cái,Công cụ - Dụng cụ - Bảo hộ
801,VT0801,Than 803,bộ,Vật tư Khác
802,VT0802,Đèn pha led 200w,cái,Vật tư Điện - Điện tử
803,VT0803,Lốp xe 8.5t cũ,cái,Phụ tùng Xe - Máy móc
804,VT0804,Cây bơm mỡ xâu,cái,Công cụ - Dụng cụ - Bảo hộ
805,VT0805,Miếng chặn phân gà,tấm,Thiết bị Chăn nuôi - Nông nghiệp
806,VT0806,Béc phun sương inox,cái,Vật tư Nước - Khí nén
807,VT0807,Bạc đạn UCP308( máy sàng phân),cái,Vòng bi - Bạc đạn
808,VT0808,Bạc xe xúc,cái,Phụ tùng Xe - Máy móc
809,VT0809,Long đền ắc xe xúc,cái,Phụ tùng Xe - Máy móc
810,VT0810,Bạc mắt trâu,cái,Vòng bi - Bạc đạn
811,VT0811,Bình ắc quy 12V-10AH,cái,Vật tư Điện - Điện tử
812,VT0812,Bánh xoay 150+càng,bộ,Vật tư Khác
813,VT0813,Bánh xe 150,cái,Phụ tùng Xe - Máy móc
814,VT0814,Dây hút ống 27,sợi,Vật tư Nước - Khí nén
815,VT0815,Dây curoa răng 6280(máy xịt),sợi,Dây curoa - Nhông xích - Truyền động
816,VT0816,Tủ bo 3 pha,cái,Vật tư Điện - Điện tử
817,VT0817,Cầu chia dây trung tính,cái,Vật tư Khác
818,VT0818,Ống mềm phi 30 (50m),cuộn,Vật tư Nước - Khí nén
819,VT0819,Long đền 6ly nhỏ bắn máng ăn,bịch,Thiết bị Chăn nuôi - Nông nghiệp
820,VT0820,Mâm xe xúc 932,cái,Phụ tùng Xe - Máy móc
821,VT0821,Bộ lọc gió(nhớt) xe ben 15t,bộ,Phụ tùng Xe - Máy móc
822,VT0822,Rờ le máy hơi,cái,Vật tư Điện - Điện tử
823,VT0823,Dây curoa răng 8370(máy xử lý nước thải),sợi,Dây curoa - Nhông xích - Truyền động
824,VT0824,Cánh quạt đỏ Mutifan quạt hộp 50 inch ( cánh nhựa ),,Vật tư Điện - Điện tử
